Player,Span,Mat,Inns,Not  Outs,Runs,HS,Ave,BF,SR,100,50,Ducks,4s,6s,Boundary Runs,% Runs in Boundaries
V Kohli (IND),2012-2022,27,25,11,1141,89*,81.5,869,131.3,0,14,0,103,28,580,50.83260298
DPMD Jayawardene (SL),2007-2014,31,31,5,1016,100,39.07,754,134.74,1,6,1,111,25,594,58.46456693
CH Gayle (WI),2007-2021,33,31,3,965,117,34.46,676,142.75,2,7,1,78,63,690,71.50259067
RG Sharma (IND),2007-2022,39,36,8,963,79*,34.39,753,127.88,0,9,1,91,35,574,59.60539979
TM Dilshan (SL),2007-2016,35,34,5,897,96*,30.93,723,124.06,0,6,5,101,20,524,58.41694537
DA Warner (AUS),2009-2022,34,34,2,806,89*,25.18,605,133.22,0,6,2,86,31,530,65.75682382
JC Buttler (ENG),2012-2022,27,27,8,799,101*,42.05,553,144.48,1,4,1,69,33,474,59.32415519
Shakib Al Hasan (BAN),2007-2022,36,36,5,742,84,23.93,606,122.44,0,3,2,62,23,386,52.02156334
AB de Villiers (SA),2007-2016,30,29,5,717,79*,29.87,500,143.4,0,5,0,51,30,384,53.55648536
KS Williamson (NZ),2012-2022,25,24,3,699,85,33.28,614,113.84,0,3,1,68,14,356,50.92989986
KC Sangakkara (SL),2007-2014,31,30,4,661,68,25.42,589,112.22,0,4,2,63,11,318,48.10892587
Shoaib Malik (PAK),2007-2021,34,31,12,646,57,34,524,123.28,0,3,0,47,17,290,44.89164087
BB McCullum (NZ),2007-2014,25,25,3,637,123,28.95,496,128.42,1,2,2,67,19,382,59.96860283
MJ Guptill (NZ),2009-2021,28,27,2,617,93,24.68,540,114.25,0,2,0,61,23,382,61.91247974
Yuvraj Singh (IND),2007-2016,31,28,3,593,70,23.72,460,128.91,0,4,0,38,33,350,59.02192243
KP Pietersen (ENG),2007-2010,15,15,2,580,79,44.61,391,148.33,0,4,0,60,17,342,58.96551724
AD Hales (ENG),2012-2022,20,20,2,568,116*,31.55,408,139.21,1,3,3,60,20,360,63.38028169
JP Duminy (SA),2007-2016,25,23,9,568,86*,40.57,438,129.68,0,2,2,37,23,286,50.35211268
LRPL Taylor (NZ),2007-2016,28,25,5,562,62*,28.1,440,127.72,0,3,1,32,23,266,47.33096085
EJG Morgan (ENG),2009-2021,29,27,6,552,71*,26.28,452,122.12,0,3,2,41,20,284,51.44927536
Shahid Afridi (PAK),2007-2016,34,32,3,546,54*,18.82,354,154.23,0,2,5,49,21,322,58.97435897
SR Watson (AUS),2007-2016,24,22,3,537,81,28.26,381,140.94,0,5,1,41,31,350,65.17690875
MN Samuels (WI),2007-2016,20,19,2,530,85*,31.17,458,115.72,0,4,0,49,21,322,60.75471698
DJ Bravo (WI),2007-2021,34,30,5,530,66*,21.2,418,126.79,0,2,3,35,25,290,54.71698113
MS Dhoni (IND),2007-2016,33,29,14,529,45,35.26,427,123.88,0,0,0,36,16,240,45.36862004
G Gambhir (IND),2007-2012,21,20,0,524,75,26.2,444,118.01,0,4,2,61,6,280,53.4351145
Kamran Akmal (PAK),2007-2014,30,28,3,524,73,20.96,452,115.92,0,3,3,50,16,296,56.48854962
Tamim Iqbal (BAN),2007-2016,23,23,2,514,103*,24.47,453,113.46,1,1,2,52,15,298,57.9766537
Mohammad Hafeez (PAK),2007-2021,30,27,3,511,64,21.29,457,111.81,0,1,0,56,11,290,56.75146771
Umar Akmal (PAK),2010-2016,20,18,4,486,94,34.71,367,132.42,0,3,3,32,19,242,49.79423868
AD Mathews (SL),2009-2016,29,22,10,459,73*,38.25,354,129.66,0,2,0,30,16,216,47.05882353
AJ Finch (AUS),2014-2022,16,16,1,458,71,30.53,384,119.27,0,3,2,40,20,280,61.13537118
Mohammad Rizwan (PAK),2021-2022,13,13,2,456,79*,41.45,380,120,0,4,0,38,15,242,53.07017544
SK Raina (IND),2009-2016,26,21,3,453,101,25.16,348,130.17,1,1,1,47,12,260,57.39514349
GJ Maxwell (AUS),2012-2022,24,21,5,446,74,27.87,302,147.68,0,2,0,38,23,290,65.02242152
LJ Wright (ENG),2007-2012,22,20,3,439,99*,25.82,308,142.53,0,3,4,35,21,266,60.59225513
MEK Hussey (AUS),2007-2012,21,16,8,437,60*,54.62,313,139.61,0,2,0,33,16,228,52.17391304
P Nissanka (SL),2021-2022,15,15,0,435,74,29,384,113.28,0,5,2,32,13,206,47.35632184
JH Kallis (SA),2009-2012,15,13,1,433,73,36.08,368,117.66,0,3,0,36,13,222,51.27020785
Babar Azam (PAK),2021-2022,13,13,1,427,70,35.58,373,114.47,0,5,1,41,5,194,45.43325527
Q de Kock (SA),2014-2022,18,18,1,410,63,24.11,313,130.99,0,2,2,51,12,276,67.31707317
PR Stirling (IRE),2009-2022,21,20,3,407,66*,23.94,328,124.08,0,2,3,47,11,254,62.40786241
Mohammad Shahzad (AFG),2010-2021,19,19,0,402,68,21.15,333,120.72,0,2,2,41,18,272,67.66169154
Mushfiqur Rahim (BAN),2007-2021,33,28,5,402,57*,17.47,374,107.48,0,1,3,36,8,192,47.76119403
HM Amla (SA),2012-2016,14,14,2,376,58,31.33,295,127.45,0,3,1,42,8,216,57.44680851
Misbah-ul-Haq (PAK),2007-2010,20,17,5,368,66*,30.66,296,124.32,0,2,1,23,14,176,47.82608696
MP O'Dowd (NED),2021-2022,11,11,1,365,71*,36.5,321,113.7,0,4,0,35,9,194,53.15068493
Mahmudullah (BAN),2007-2021,30,26,6,363,50,18.15,328,110.67,0,1,2,26,11,170,46.83195592
KIC Asalanka (SL),2021-2022,13,13,3,362,80*,36.2,270,134.07,0,2,1,32,11,194,53.59116022
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6s,Boundary Runs,% Runs in Boundaries
,,,,,,,,,,,,,,28,580,50.83260298
,,,,,,,,,,,,,,25,594,58.46456693
,,,,,,,,,,,,,,63,690,71.50259067
,,,,,,,,,,,,,,35,574,59.60539979
,,,,,,,,,,,,,,20,524,58.41694537
,,,,,,,,,,,,,,31,530,65.75682382
,,,,,,,,,,,,,,33,474,59.32415519
,,,,,,,,,,,,,,23,386,52.02156334
,,,,,,,,,,,,,,30,384,53.55648536
,,,,,,,,,,,,,,14,356,50.92989986
,,,,,,,,,,,,,,11,318,48.10892587
,,,,,,,,,,,,,,17,290,44.89164087
,,,,,,,,,,,,,,19,382,59.96860283
,,,,,,,,,,,,,,23,382,61.91247974
,,,,,,,,,,,,,,33,350,59.02192243
,,,,,,,,,,,,,,17,342,58.96551724
,,,,,,,,,,,,,,20,360,63.38028169
,,,,,,,,,,,,,,23,286,50.35211268
,,,,,,,,,,,,,,23,266,47.33096085
,,,,,,,,,,,,,,20,284,51.44927536
,,,,,,,,,,,,,,21,322,58.97435897
,,,,,,,,,,,,,,31,350,65.17690875
,,,,,,,,,,,,,,21,322,60.75471698
,,,,,,,,,,,,,,25,290,54.71698113
,,,,,,,,,,,,,,16,240,45.36862004
,,,,,,,,,,,,,,6,280,53.4351145
,,,,,,,,,,,,,,16,296,56.48854962
,,,,,,,,,,,,,,15,298,57.9766537
,,,,,,,,,,,,,,11,290,56.75146771
,,,,,,,,,,,,,,19,242,49.79423868
,,,,,,,,,,,,,,16,216,47.05882353
,,,,,,,,,,,,,,20,280,61.13537118
,,,,,,,,,,,,,,15,242,53.07017544
,,,,,,,,,,,,,,12,260,57.39514349
,,,,,,,,,,,,,,23,290,65.02242152
,,,,,,,,,,,,,,21,266,60.59225513
,,,,,,,,,,,,,,16,228,52.17391304
,,,,,,,,,,,,,,13,206,47.35632184
,,,,,,,,,,,,,,13,222,51.27020785
,,,,,,,,,,,,,,5,194,45.43325527
,,,,,,,,,,,,,,12,276,67.31707317
,,,,,,,,,,,,,,11,254,62.40786241
,,,,,,,,,,,,,,18,272,67.66169154
,,,,,,,,,,,,,,8,192,47.76119403
,,,,,,,,,,,,,,8,216,57.44680851
,,,,,,,,,,,,,,14,176,47.82608696
,,,,,,,,,,,,,,9,194,53.15068493
,,,,,,,,,,,,,,11,170,46.83195592
,,,,,,,,,,,,,,11,194,53.59116022
